run,learning_rate,gamma,clip_range,entropy_coef,vf_coef,n_steps,batch_size,n_epochs,mean_reward,std_reward,total_timesteps
ppo_run_1,0.0001,0.99,0.2,0.01,0.5,2048,64,10,-0.9735328530669211,2.508360958890757,50000
ppo_run_2,0.0003,0.99,0.2,0.01,0.5,2048,64,10,1.4104474036580652,3.2545251374436965,50000
ppo_run_3,0.0005,0.99,0.2,0.01,0.5,2048,64,10,2.8438568678947638,2.9494585906348085,50000
ppo_run_4,0.0001,0.95,0.2,0.01,0.5,2048,64,10,0.7160103465548018,2.284480823019021,50000
ppo_run_5,0.0001,0.99,0.3,0.01,0.5,2048,64,10,0.33436719882942323,2.5538498517624935,50000
ppo_run_6,0.0001,0.99,0.1,0.01,0.5,2048,64,10,2.0246378008052126,2.890423716968719,50000
ppo_run_7,0.0001,0.99,0.2,0.05,0.5,2048,64,10,3.4980935612677713,3.5374397861104745,50000
ppo_run_8,0.0001,0.99,0.2,0.01,1.0,2048,64,10,1.3780025243759155,2.3440144062042236,50000
ppo_run_9,0.0001,0.99,0.2,0.01,0.5,2048,64,20,3.8451151842946416,3.6864768220008615,50000
ppo_run_10,0.0002,0.97,0.2,0.02,0.7,2048,64,15,3.1780915885179715,3.5267592432074304,50000
